url;Perfume;Brand;Country;Gender;rating_value;rating_count;Year;Top;Middle;Base;mainaccord1;mainaccord2;mainaccord3;mainaccord4;mainaccord5
https://www.fragrantica.com/perfume/elizabeth-arden/green-tea-83.html;green-tea;elizabeth-arden;USA;women;3.82;12738;1999;lemon, bergamot, mint, orange peel, rhubarb;jasmine, oakmoss, musk, fennel, carnation, white amber;green tea, jasmine, oakmoss, musk, celery seeds, caraway, cloves, amber;citrus;green;aromatic;fresh spicy;fresh
https://www.fragrantica.com/perfume/ariana-grande/cloud-50384.html;cloud;ariana-grande;USA;women;3.99;12730;2018;lavender, pear, bergamot;whipped cream, coconut, praline, vanilla orchid;musk, woody notes;sweet;lactonic;vanilla;coconut;musky
https://www.fragrantica.com/perfume/hermes/un-jardin-sur-le-nil-18.html;un-jardin-sur-le-nil;hermes;France;unisex;4.12;12634;2005;grapefruit, green mango, tomato, carrot;lotus, bulrush, orange, hiacynth, peony;musk, iris, incense, labdanum, cinnamon;citrus;aromatic;floral;fresh spicy;green
https://www.fragrantica.com/perfume/jean-paul-gaultier/ultra-male-30947.html;ultra-male;jean-paul-gaultier;France;men;4.44;12479;2015;pear, lavender, mint, bergamot, lemon;cinnamon, clary sage, caraway;black vanilla husk, amber, patchouli, cedar;vanilla;fruity;sweet;aromatic;cinnamon
https://www.fragrantica.com/perfume/kenzo/kenzo-jungle-l-elephant-70.html;kenzo-jungle-l-elephant;kenzo;France;women;3.92;12423;1996;cloves, cumin, mandarin orange;cardamom, caraway, licorice, mango, ylang-ylang, heliotrope, gardenia;vanilla, amber, patchouli;warm spicy;fresh spicy;vanilla;sweet;aromatic
https://www.fragrantica.com/perfume/dolce-gabbana/the-one-for-men-2056.html;the-one-for-men;dolce-gabbana;Italy;men;4.25;12386;2008;grapefruit, coriander, basil;ginger, cardamom, orange blossom;amber, tobacco, cedar;warm spicy;amber;tobacco;aromatic;citrus
https://www.fragrantica.com/perfume/chanel/allure-homme-sport-607.html;allure-homme-sport;chanel;France;men;4.26;12382;2004;orange, sea notes, aldehydes, blood mandarin;pepper, neroli, cedar;vanilla, tonka bean, white musk, amber, vetiver, elemi resin;citrus;aromatic;vanilla;aldehydic;marine
https://www.fragrantica.com/perfume/chanel/coco-eau-de-parfum-609.html;coco-eau-de-parfum;chanel;France;women;4.26;12365;1984;bulgarian rose, coriander, peach, jasmine, mandarin orange;cloves, rose, orange blossom, mimosa, clover;amber, sandalwood, tonka bean, opoponax, civet, vanilla, labdanum;amber;warm spicy;sweet;powdery;woody
https://www.fragrantica.com/perfume/nautica/nautica-voyage-913.html;nautica-voyage;nautica;USA;men;3.95;12304;2006;green leaves, apple;lotus, mimosa;musk, cedar, oakmoss, amber;green;fruity;floral;fresh;powdery
https://www.fragrantica.com/perfume/paco-rabanne/olympea-31666.html;olympea;paco-rabanne;Spain;women;3.85;12158;2015;water jasmine, green mandarin, ginger flower;vanilla, salt;ambergris, cashmere wood, sandalwood;vanilla;salty;white floral;woody;amber
https://www.fragrantica.com/perfume/dior/dune-221.html;dune;dior;France;women;3.98;12133;1991;brazilian rosewood, aldehydes, mandarin orange, bergamot, peony;lily, ylang-ylang, wallflower, jasmine, rose;amber, sandalwood, benzoin, oakmoss, vanilla, patchouli, musk;woody;amber;balsamic;warm spicy;powdery
https://www.fragrantica.com/perfume/by-kilian/angels-share-62615.html;angels-share;by-kilian;France;unisex;4.38;12081;2020;cognac;cinnamon, tonka bean, oak;vanilla, praline, sandalwood;woody;warm spicy;sweet;vanilla;cinnamon
https://www.fragrantica.com/perfume/lancome/tresor-172.html;tresor;lancome;France;women;3.64;12043;1990;peach, rose, apricot blossom, lilac, pineapple, lily-of-the-valley, bergamot;rose, iris, heliotrope, jasmine;peach, apricot, vanilla, sandalwood, amber, musk;fruity;powdery;floral;sweet;rose
https://www.fragrantica.com/perfume/givenchy/ange-ou-demon-701.html;ange-ou-demon;givenchy;France;women;3.82;12023;2006;saffron, thyme, mandarin orange;lily, ylang-ylang, orchid;vanilla, tonka bean, brazilian rosewood, oakmoss;vanilla;sweet;warm spicy;white floral;aromatic
https://www.fragrantica.com/perfume/byredo/bal-d-afrique-6458.html;bal-d-afrique;byredo;Sweden;unisex;4.14;11988;2009;amalfi lemon, tagetes, black currant, bergamot, african orange flower;violet, cyclamen, jasmine;vetiver, musk, amber, virginia cedar;aromatic;citrus;woody;floral;fresh spicy
https://www.fragrantica.com/perfume/chanel/chance-eau-de-toilette-610.html;chance-eau-de-toilette;chanel;France;women;3.93;11921;2002;patchouli, pink pepper, pineapple, hiacynth, iris;lemon, jasmine, rose;patchouli, musk, vetiver, vanilla;patchouli;woody;sweet;earthy;citrus
https://www.fragrantica.com/perfume/cacharel/noa-242.html;noa;cacharel;France;women;3.87;11884;1998;white musk, peony, freesia, green notes, peach, plum;lily, lily-of-the-valley, green grass, jasmine, ylang-ylang, rose;coffee, vanilla, sandalwood, coriander, incense, tonka bean, cedar;floral;white floral;musky;fresh;powdery
https://www.fragrantica.com/perfume/lancome/poeme-171.html;poeme;lancome;France;women;3.99;11841;1995;narcissus, datura, peach, plum, himalayan poppy, mandarin orange, black currant, bergamot, green notes;mimosa, vanilla flower, tuberose, ylang-ylang, orange blossom, jasmine, freesia, heliotrope, rose, leather;vanilla, orange blossom, amber, tonka bean, musk, cedar;yellow floral;white floral;powdery;sweet;floral
https://www.fragrantica.com/perfume/marc-jacobs/daisy-1361.html;daisy;marc-jacobs;USA;women;3.8;11769;2007;violet leaf, blood grapefruit, strawberry;violet, gardenia, jasmine;musk, white woods, vanilla;white floral;ozonic;powdery;violet;citrus
https://www.fragrantica.com/perfume/narciso-rodriguez/narciso-rodriguez-for-her-eau-de-parfum-14319.html;narciso-rodriguez-for-her-eau-de-parfum;narciso-rodriguez;USA;women;3.97;11725;2006;rose, peach;musk, amber;patchouli, sandalwood;musky;rose;powdery;woody;patchouli
https://www.fragrantica.com/perfume/maison-martin-margiela/jazz-club-20541.html;jazz-club;maison-martin-margiela;France;men;4.2;11724;2013;pink pepper, neroli, lemon;rum, java vetiver oil, clary sage;tobacco leaf, vanilla bean, styrax;tobacco;sweet;rum;vanilla;woody
